Protein,Domain,Range,ECOD_num,ECOD_key,T-group,DPAM_prob,HH_prob,DALI_zscore,Hit_cov,Tgroup_cov,Judge,Hcount,Scount,subset,domain_length,bin,intracellular_percentage
Q12791,nD4,"801-955,996-1040",1383223,e3nafA2,2003.1.1,0.996,1.0,26.6,0.884,1.02,good_domain,8,7,subset_116,200,2,100.0
Q12791,nD5,1041-1180,2803625,e7pxeD3,4261.1.1,0.995,1.0,15.3,0.961,1.538,good_domain,4,6,subset_116,140,1,100.0
Q02556,nD1,11-115,45859,e2irfL1,101.1.2,0.998,0.999,18.3,0.954,1.105,good_domain,3,3,subset_28,105,1,100.0
Q02556,nD2,191-395,169139,e3dshA1,73.1.1,0.993,1.0,19.1,0.809,1.708,good_domain,4,10,subset_28,205,2,100.0
Q9UHC9,nD1,26-275,119525,e3qntA1,543.1.1,0.997,1.0,36.5,0.984,1.534,good_domain,7,7,subset_28,250,2,0.0
Q9UHC9,nD2,"301-820,826-1045,1066-1295",2816603,e7dfwA1,5067.1.1,0.997,1.0,31.5,0.915,4.429,good_domain,27,18,subset_28,970,3,15.77319587628866
P26439,nD1,1-365,9037,e1gy8A1,2003.1.1,0.998,0.999,31.0,0.809,1.862,good_domain,12,11,subset_28,365,2,100.0
P43626,nD1,21-120,2449452,e6grtB3,11.1.1,1.0,0.997,21.5,0.47,0.926,good_domain,1,8,subset_28,100,1,1.0
P43626,nD2,121-230,2642818,e6zdxB1,11.1.1,1.0,0.997,23.0,0.5,1.019,good_domain,0,9,subset_28,110,1,0.0
Q13115,nD1,6-170,10140,e1yt8A1,2007.2.5,0.992,0.99,8.8,0.765,1.231,good_domain,6,6,subset_139,165,2,100.0
Q13115,nD2,186-345,163138,e2g6zA1,2007.2.3,0.992,0.998,27.5,1.0,0.703,good_domain,6,5,subset_139,160,2,100.0
P11511,nD1,26-495,150462,e3s79A1,149.1.1,1.0,1.0,63.7,0.998,1.166,good_domain,14,12,subset_139,470,2,97.65957446808511
P30989,nD1,36-390,2584014,e6up7R1,5001.1.1,1.0,1.0,39.0,0.949,1.243,good_domain,8,2,subset_139,355,2,31.267605633802816
P18825,nD1,"36-280,341-460",1273955,e3pblA3,5001.1.1,0.999,1.0,33.1,0.92,1.278,good_domain,7,0,subset_97,365,2,39.45205479452055
Q14790,nD1,1-95,1907276,e5jqeA3,110.1.1,0.998,0.998,20.1,0.95,0.99,good_domain,6,1,subset_97,95,1,100.0
Q14790,nD2,96-190,2832705,e7lvjA1,110.1.1,0.996,0.999,17.1,0.977,0.99,good_domain,4,1,subset_97,95,1,100.0
Q14790,nD3,221-479,111209,e2funB1,7575.1.1,0.999,1.0,38.6,0.942,1.002,good_domain,6,10,subset_97,259,2,100.0
O14793,nD1,"46-105,116-260,276-375",2152691,e5ntuA1,10.2.1,1.0,1.0,20.3,0.829,1.317,good_domain,6,16,subset_97,305,2,0.0
Q9NQB0,nD1,351-425,2423,e2lefA1,190.1.1,0.996,0.983,4.5,0.872,0.904,good_domain,3,0,subset_132,75,0,100.0
P20815,nD1,11-500,2146329,e5veuC1,149.1.1,1.0,1.0,60.4,0.998,1.216,good_domain,14,10,subset_132,490,2,96.93877551020408
P13612,nD1,"1-30,36-465",985759,e3v4vC2,5.1.4,0.969,1.0,66.7,0.995,1.281,good_domain,5,29,subset_132,460,2,6.521739130434782
P13612,nD2,"466-585,601-620",1543187,e4irzA1,11.1.1,0.999,1.0,19.1,0.863,1.296,good_domain,0,9,subset_132,140,1,0.0
P13612,nD3,626-770,1140450,e4nehA2,11.1.1,0.998,1.0,16.1,0.905,1.343,good_domain,1,8,subset_132,145,1,0.0
P13612,nD4,"771-860,886-995",136546,e3ijeA2,11.1.1,0.992,1.0,16.4,0.821,1.852,good_domain,2,12,subset_132,200,2,0.0
P11388,nD1,16-265,75203,e1qzrA2,225.1.1,0.996,1.0,35.5,0.992,1.359,good_domain,5,10,subset_377,250,2,100.0
P11388,nD2,266-430,2126501,e4gfhA3,212.1.1,0.995,1.0,22.1,0.89,1.146,good_domain,4,5,subset_377,165,2,100.0
P11388,nD3,431-715,1262146,e4fm9A7,2006.1.3,0.995,1.0,33.5,0.996,2.096,good_domain,9,9,subset_377,285,2,100.0
P11388,nD4,716-845,2443872,e6ca8A5,101.1.2,0.997,1.0,19.4,1.0,1.368,good_domain,3,4,subset_377,130,1,100.0
P11388,nD5,846-1015,1262124,e3qx3A12,4014.1.1,1.0,1.0,16.6,1.0,0.934,good_domain,3,12,subset_377,170,2,100.0
P11388,nD6,1016-1190,1165371,e4g0vB13,4016.1.1,0.994,1.0,17.2,0.855,1.174,good_domain,5,0,subset_377,175,2,100.0
P34969,nD1,61-440,2156947,e5v54B1,5001.1.1,0.999,1.0,33.1,0.918,1.331,good_domain,9,0,subset_377,380,2,40.0
P22694,nD1,11-350,2165061,e5n1fA1,206.1.1,1.0,1.0,54.8,0.988,1.13,good_domain,10,8,subset_377,340,2,100.0
O00571,nD1,"136-410,601-610",1507990,e4px9C1,2004.1.1,0.999,0.999,44.4,0.985,1.278,good_domain,11,8,subset_10,285,2,100.0
O00571,nD2,411-585,1716066,e5e7jA1,2004.1.1,0.997,1.0,29.0,0.843,0.785,good_domain,7,6,subset_10,175,2,100.0
Q71U36,nD1,1-245,1254562,e4drxC4,2003.1.6,0.999,1.0,35.1,0.963,1.189,good_domain,9,7,subset_10,245,2,100.0
Q71U36,nD2,246-445,151217,e4drxB1,301.6.1,0.995,1.0,16.1,0.995,1.37,good_domain,5,4,subset_10,200,2,100.0
P63252,nD1,41-185,1506483,e3spgA1,5054.1.1,0.997,1.0,17.7,0.953,0.636,good_domain,4,0,subset_10,145,1,34.48275862068966
P63252,nD2,186-370,2487481,e6jb1E1,11.1.1,0.996,1.0,24.7,0.984,1.713,good_domain,4,11,subset_10,185,2,100.0
P18627,nD1,"21-70,96-170",142415,e3alpA1,11.1.1,0.997,0.998,13.3,0.963,1.157,good_domain,3,8,subset_10,125,1,0.0
P18627,nD2,171-260,1954718,e5t89Y2,11.1.1,0.999,0.999,9.9,0.373,0.833,good_domain,1,8,subset_10,90,1,0.0
P18627,nD3,"261-430,446-475",415216,e3qs7F3,11.1.1,0.984,0.0,8.3,0.918,1.852,good_domain,3,12,subset_10,200,2,2.0
Q16236,nD1,41-70,2430620,e6mg1A1,105.1.1,0.538,0.0,3.5,na,na,simple_topology,1,0,subset_90,30,0,100.0
Q16236,nD2,446-525,3916,e1sknP1,137.1.1,0.991,0.998,9.7,1.0,0.988,good_domain,5,1,subset_90,80,0,100.0
Q16236,nD3,526-565,401830,e2wt7B1,137.1.1,0.923,0.996,0.0,0.378,0.494,simple_topology,1,1,subset_90,40,0,100.0
Q99808,nD1,6-240,2526339,e6ob7A1,5050.1.1,0.999,1.0,27.8,1.0,1.066,good_domain,6,0,subset_90,235,2,17.4468085106383
Q99808,nD2,276-455,2559754,e6ob7A2,5050.1.1,0.996,1.0,21.4,1.0,0.816,good_domain,5,1,subset_90,180,2,28.333333333333332
O60341,nD1,171-270,1270796,e2xasA6,101.1.1,0.998,1.0,21.6,0.971,1.37,good_domain,5,0,subset_90,100,1,100.0
O60341,nD2,"276-655,761-835",2321300,e4gurA3,2003.1.2,0.998,1.0,34.0,0.751,1.936,good_domain,10,16,subset_90,455,2,100.0
O60341,nD3,656-760,1879033,e5l3dA3,244.1.1,0.991,1.0,15.4,0.963,0.972,good_domain,2,5,subset_90,105,1,100.0
P33681,nD1,31-140,1162816,e4bfiA3,11.1.1,0.999,0.995,12.6,0.5,1.019,good_domain,2,9,subset_90,110,1,3.6363636363636362
P33681,nD2,141-235,1220114,e3rnqB4,11.1.1,1.0,0.997,13.4,0.455,0.88,good_domain,0,8,subset_90,95,1,0.0
P33681,nD3,246-280,1764134,e2n2aA1,3569.1.1,0.881,0.932,0.0,0.31,0.603,simple_topology,1,0,subset_90,35,0,34.285714285714285
P20340,nD1,6-200,143788,e2y8eA1,2004.1.1,0.998,0.999,28.1,1.0,0.874,good_domain,6,6,subset_242,195,2,100.0
P31327,nD1,46-195,1717077,e5douD8,2487.1.1,0.998,1.0,31.3,0.98,0.932,good_domain,3,8,subset_242,150,1,100.0
P31327,nD2,196-420,2056876,e5dotA4,2007.1.1,0.997,1.0,42.4,0.995,1.061,good_domain,4,12,subset_242,225,2,100.0
P31327,nD3,421-545,2056877,e5dotA5,2003.1.10,0.996,1.0,19.1,0.823,1.152,good_domain,4,4,subset_242,125,1,100.0
P31327,nD4,816-970,1717076,e5douD7,101.1.2,0.998,1.0,20.0,1.0,1.632,good_domain,7,2,subset_242,155,2,100.0
P31327,nD5,"546-815,1086-1350",1717072,e5douD3,206.1.3,1.0,1.0,29.6,0.932,2.388,good_domain,14,22,subset_242,535,2,100.0
P31327,nD6,971-1085,1717074,e5douD5,2003.1.10,0.998,1.0,25.0,0.966,1.06,good_domain,4,5,subset_242,115,1,100.0
P31327,nD7,1351-1495,2482227,e5dotA1,7543.1.1,0.997,1.0,22.7,0.916,0.948,good_domain,7,5,subset_242,145,1,100.0
P39877,nD1,21-138,156915,e1pwoA1,371.1.1,0.998,1.0,17.6,0.935,0.967,good_domain,3,2,subset_242,118,1,0.0
P05412,nD1,251-320,401830,e2wt7B1,137.1.1,0.964,0.985,0.0,0.733,0.864,simple_topology,1,0,subset_79,70,0,100.0
Q15858,nD1,"11-35,51-455,676-715,721-980,986-1015,1141-1495,1501-1770",2816920,e7f57A3,5054.1.1,0.994,0.0,7.3,0.59,6.075,good_domain,37,9,subset_79,1385,3,42.74368231046932
Q15858,nD2,1771-1885,1412630,e4ovnJ1,108.1.1,0.992,0.997,11.6,0.877,1.292,good_domain,5,4,subset_79,115,1,100.0
Q15858,nD3,1886-1915,1154750,e4dckA2,6006.1.1,0.917,0.997,0.0,0.968,0.923,good_domain,1,1,subset_79,30,0,100.0
P35228,nD1,81-500,412216,e3n65B1,262.1.1,0.998,1.0,55.2,0.971,1.082,good_domain,12,16,subset_79,420,2,100.0
P35228,nD2,511-705,10003,e1tllA2,2007.2.1,0.996,1.0,27.0,0.878,1.114,good_domain,7,5,subset_79,195,2,100.0
P35228,nD3,"706-780,901-965",1918525,e5tr9A2,1.1.7,0.997,0.991,11.4,0.93,1.261,good_domain,4,8,subset_79,140,1,100.0
P35228,nD4,781-900,1345910,e1tllA1,3687.1.1,0.997,1.0,17.8,0.902,0.952,good_domain,7,5,subset_79,120,1,100.0
P35228,nD5,966-1140,2088108,e5o0xA2,7514.1.1,0.996,0.992,9.4,0.721,1.195,good_domain,7,5,subset_79,175,2,100.0
P01570,nD1,1-25,2736827,e6z0cC1,150.1.1,0.067,0.0,6.1,na,na,simple_topology,1,0,subset_79,25,0,92.0
P01570,nD2,26-189,143314,e3oq3A1,150.3.1,0.999,1.0,24.4,0.982,1.086,good_domain,7,0,subset_79,164,2,0.0
P10828,nD1,106-205,1298718,e4ummE1,377.1.1,0.996,0.978,9.8,0.839,2.0,good_domain,3,2,subset_468,100,1,100.0
P10828,nD2,206-460,389631,e3ilzA1,188.1.1,0.999,0.999,36.2,0.906,1.054,good_domain,9,3,subset_468,255,2,100.0
Q9UM47,nD1,46-80,2082918,e5mwbA3,389.1.1,1.0,0.0,6.2,0.805,0.824,simple_topology,0,2,subset_468,35,0,0.0
Q9UM47,nD2,81-120,399287,e3nt1B2,389.1.1,1.0,0.0,5.8,0.902,0.941,simple_topology,0,2,subset_468,40,0,0.0
Q9UM47,nD3,121-160,1117654,e3ojyA4,389.1.1,1.0,0.0,3.0,0.895,0.941,simple_topology,0,2,subset_468,40,0,0.0
Q9UM47,nD4,161-195,1855231,e5fm9A5,389.1.1,1.0,0.964,4.7,0.875,0.824,good_domain,0,2,subset_468,35,0,0.0
Q9UM47,nD5,201-235,1821441,e5fmaA3,389.1.1,1.0,0.964,4.1,0.875,0.824,good_domain,0,2,subset_468,35,0,0.0
Q9UM47,nD6,236-275,222712,e4bdwA1,389.1.1,1.0,0.0,4.3,0.947,0.941,simple_topology,0,2,subset_468,40,0,0.0
Q9UM47,nD7,276-315,2082906,e5mvxA5,389.1.1,0.999,0.0,4.7,0.951,0.941,good_domain,1,2,subset_468,40,0,0.0
Q9UM47,nD8,316-350,2075178,e5ky4B1,389.1.1,1.0,0.0,3.5,0.917,0.824,simple_topology,0,2,subset_468,35,0,0.0
Q9UM47,nD9,351-390,2075178,e5ky4B1,389.1.1,1.0,0.0,3.8,0.944,0.941,simple_topology,0,2,subset_468,40,0,0.0
Q9UM47,nD10,391-430,2082918,e5mwbA3,389.1.1,1.0,0.0,6.0,0.927,0.941,simple_topology,0,2,subset_468,40,0,0.0
Q9UM47,nD11,431-470,2099351,e5l0rB1,389.1.1,1.0,0.0,6.4,0.975,0.941,simple_topology,0,2,subset_468,40,0,0.0
Q9UM47,nD12,471-505,1821440,e5fmaA2,389.1.1,1.0,0.0,5.7,0.875,0.824,simple_topology,0,2,subset_468,35,0,0.0
Q9UM47,nD13,506-545,2102583,e5uk5A4,389.1.1,1.0,0.0,4.2,0.95,0.941,simple_topology,0,2,subset_468,40,0,0.0
Q9UM47,nD14,546-580,1821441,e5fmaA3,389.1.1,1.0,0.957,2.9,0.875,0.824,good_domain,0,2,subset_468,35,0,0.0
Q9UM47,nD15,581-620,1878263,e4xbmB6,389.1.1,1.0,0.0,4.8,0.974,0.941,good_domain,1,2,subset_468,40,0,0.0
Q9UM47,nD16,621-655,2646132,e6polF3,389.1.1,0.999,0.0,3.5,0.778,0.824,simple_topology,0,2,subset_468,35,0,0.0
Q9UM47,nD17,661-685,2075181,e5ky5B1,389.1.1,1.0,0.0,3.6,0.625,0.588,simple_topology,0,2,subset_468,25,0,0.0
Q9UM47,nD18,701-730,2392015,e6cxoA4,389.1.1,1.0,0.0,2.7,0.811,0.706,simple_topology,0,2,subset_468,30,0,0.0
Q9UM47,nD19,736-770,1878263,e4xbmB6,389.1.1,0.99,0.998,0.0,0.897,0.824,good_domain,0,2,subset_468,35,0,0.0
Q9UM47,nD20,776-810,223902,e3t5oA5,389.1.1,1.0,0.0,4.2,0.895,0.824,good_domain,1,2,subset_468,35,0,0.0
Q9UM47,nD21,811-850,8456,e1g1tA2,389.1.1,1.0,0.0,6.2,1.0,0.941,simple_topology,0,2,subset_468,40,0,0.0
Q9UM47,nD22,851-890,222712,e4bdwA1,389.1.1,1.0,0.0,4.7,1.0,0.941,simple_topology,0,2,subset_468,40,0,0.0
Q9UM47,nD23,891-925,2075181,e5ky5B1,389.1.1,1.0,0.0,4.5,0.875,0.824,simple_topology,0,2,subset_468,35,0,0.0
Q9UM47,nD24,926-960,2082918,e5mwbA3,389.1.1,1.0,0.0,6.2,0.854,0.824,good_domain,1,2,subset_468,35,0,0.0
Q9UM47,nD25,961-1000,222712,e4bdwA1,389.1.1,1.0,0.0,4.4,0.921,0.941,good_domain,1,2,subset_468,40,0,0.0
Q9UM47,nD26,1001-1035,140353,e3ltfD1,389.1.1,1.0,0.0,4.3,0.596,0.824,good_domain,1,2,subset_468,35,0,0.0
Q9UM47,nD27,1036-1085,1117654,e3ojyA4,389.1.1,0.999,0.0,3.2,0.895,1.176,good_domain,2,2,subset_468,50,0,0.0
Q9UM47,nD28,1086-1125,1117654,e3ojyA4,389.1.1,1.0,0.0,3.0,0.895,0.941,good_domain,1,2,subset_468,40,0,0.0
Q9UM47,nD29,1126-1160,222712,e4bdwA1,389.1.1,1.0,0.0,4.9,0.921,0.824,simple_topology,0,2,subset_468,35,0,0.0
Q9UM47,nD30,1161-1205,1721622,e4ylqL3,389.1.1,0.999,0.0,5.8,0.902,1.059,simple_topology,0,2,subset_468,45,0,0.0
Q9UM47,nD31,1206-1245,2075178,e5ky4B1,389.1.1,1.0,0.0,3.9,0.944,0.941,simple_topology,0,2,subset_468,40,0,0.0
Q9UM47,nD32,1246-1290,2082918,e5mwbA3,389.1.1,1.0,0.0,6.2,0.951,1.059,simple_topology,0,2,subset_468,45,0,0.0
Q9UM47,nD33,1336-1375,2082918,e5mwbA3,389.1.1,1.0,0.0,6.5,0.927,0.941,simple_topology,0,2,subset_468,40,0,0.0
Q9UM47,nD34,1386-1425,119385,e3i08A1,917.1.1,0.986,1.0,0.0,1.0,1.026,good_domain,1,0,subset_468,40,0,0.0
Q9UM47,nD35,1426-1460,2770289,e6xswX4,917.1.1,0.99,1.0,0.0,0.875,0.897,good_domain,1,0,subset_468,35,0,0.0
Q9UM47,nD36,1466-1505,119387,e3i08A3,917.1.1,0.986,1.0,0.0,0.952,1.026,good_domain,2,0,subset_468,40,0,0.0
Q9UM47,nD37,1506-1635,1680290,e4zlpA4,304.127.1,0.998,1.0,15.6,0.886,1.15,good_domain,2,6,subset_468,130,1,0.0
Q9UM47,nD38,1746-2045,2524053,e6py8F1,109.3.1,1.0,0.999,25.6,0.879,1.508,good_domain,14,1,subset_468,300,2,100.0
P50553,nD1,121-185,2795352,e7f2fB1,105.1.1,0.995,0.965,6.3,0.691,0.97,simple_topology,2,0,subset_299,65,0,100.0
P03891,nD1,6-345,2795587,e7f9oQ1,3281.1.1,1.0,1.0,36.0,0.468,0.69,good_domain,16,2,subset_299,340,2,25.88235294117647
A5LHX3,nD1,27-260,1871844,e5le5K1,210.1.1,0.995,0.999,33.3,1.0,1.026,good_domain,6,12,subset_299,234,2,100.0
Q9NPI8,nD1,"1-50,81-145",1394622,e2pftA1,109.4.1,0.788,0.0,4.1,na,na,low_confidence,5,0,subset_263,115,1,100.0
Q9NPI8,nD2,161-355,184630,e2iqcA1,109.4.1,0.997,1.0,21.0,0.849,0.682,good_domain,8,2,subset_263,195,2,100.0
Q9BQB6,nD1,6-163,2715285,e6wvhB2,633.22.1,0.999,0.999,26.9,0.98,0.994,good_domain,5,2,subset_263,158,2,14.556962025316455
Q9NQS5,nD1,"6-240,296-395",2475326,e6me2A1,5001.1.1,0.999,1.0,30.5,0.872,1.173,good_domain,6,3,subset_263,335,2,35.223880597014926
O15119,nD1,"101-214,241-300",1871,e1h6fA1,11.1.5,0.998,1.0,28.0,0.94,1.13,good_domain,4,8,subset_112,174,2,100.0
P08912,nD1,"11-230,421-530",2420829,e5zkcA2,5001.1.1,0.999,1.0,36.8,0.979,1.156,good_domain,8,0,subset_112,330,2,31.515151515151516
Q9NZ08,nD1,36-255,2814163,e7pfsA3,4081.1.1,0.997,1.0,33.3,0.969,1.063,good_domain,1,13,subset_112,220,2,0.0
Q9NZ08,nD2,"256-490,511-530",2814162,e7pfsA2,2498.1.1,0.997,1.0,39.3,0.917,1.016,good_domain,7,6,subset_112,255,2,0.0
Q9NZ08,nD3,531-615,2561035,e6ea4B1,11.1.1,0.993,1.0,15.5,0.923,0.787,good_domain,1,7,subset_112,85,0,0.0
Q9NZ08,nD4,616-935,2781842,e7mwbB1,109.4.1,0.997,1.0,38.3,0.958,1.119,good_domain,16,0,subset_112,320,2,0.0
Q9H461,nD1,31-150,92006,e1ijyB1,543.1.1,0.994,0.992,16.7,0.975,0.736,good_domain,4,1,subset_112,120,1,0.0
Q9H461,nD2,"231-345,386-630",2644424,e6ww2R2,5001.1.1,1.0,1.0,37.3,0.951,1.261,good_domain,8,4,subset_112,360,2,21.666666666666668
Q8IX07,nD1,86-195,1854697,e2n1iA1,70.3.1,0.987,0.979,5.8,0.483,0.663,good_domain,0,7,subset_369,110,1,100.0
Q8IX07,nD2,226-275,1178567,e2dmdA6,386.1.1,0.994,0.0,3.3,1.0,1.515,simple_topology,2,0,subset_369,50,0,100.0
Q8IX07,nD3,281-375,8326,e1bhiA1,386.1.1,0.993,0.0,3.3,1.0,2.879,good_domain,3,2,subset_369,95,1,100.0
Q8IX07,nD4,576-600,222312,e2lvhA1,386.1.1,0.996,0.431,2.1,0.556,0.758,good_domain,1,2,subset_369,25,0,100.0
Q8IX07,nD5,816-840,153732,e2m0dA1,386.1.1,0.999,0.961,2.7,0.8,0.758,simple_topology,1,0,subset_369,25,0,100.0
Q8IX07,nD6,851-875,2714970,e6wmiD3,386.1.1,0.975,0.983,0.0,0.923,0.758,simple_topology,1,0,subset_369,25,0,100.0
Q8IX07,nD7,971-1000,90842,e1fv5A1,386.1.1,0.996,0.949,2.6,0.778,0.909,good_domain,1,2,subset_369,30,0,100.0
Q05513,nD1,16-120,6188,e1wmhA1,221.1.1,0.996,0.987,14.2,0.988,1.117,good_domain,2,5,subset_369,105,1,100.0
Q05513,nD2,126-180,1393696,e4l9mA3,376.1.2,0.998,0.966,9.9,0.929,0.887,good_domain,0,4,subset_369,55,0,100.0
Q05513,nD3,241-590,2641899,e6z55A1,206.1.1,0.997,0.999,24.4,0.55,1.163,good_domain,11,9,subset_369,350,2,100.0
Q9UNM6,nD1,1-260,2096951,e5o01B1,109.4.1,0.996,0.676,11.8,0.724,0.909,good_domain,14,0,subset_369,260,2,100.0
Q9UNM6,nD2,261-340,1885003,e5l4kO1,101.1.2,0.99,1.0,13.4,0.988,0.842,good_domain,3,3,subset_369,80,0,100.0
Q9UNM6,nD3,341-370,1725545,e3jckF1,3749.1.1,0.963,1.0,0.0,0.811,0.769,simple_topology,1,0,subset_369,30,0,100.0
P00797,nD1,31-405,223538,e4amtA1,1.1.1,0.991,1.0,53.2,0.913,2.107,good_domain,6,22,subset_396,375,2,0.0
P32239,nD1,51-410,2565169,e6todB1,5001.1.1,0.999,1.0,32.9,0.885,1.261,good_domain,8,2,subset_396,360,2,38.333333333333336
P21589,nD1,26-330,2666107,e7jv8C2,246.2.1,0.998,1.0,53.6,0.987,1.03,good_domain,8,15,subset_396,305,2,0.32786885245901637
P21589,nD2,331-550,2137449,e5h7wB2,805.1.1,0.997,1.0,36.2,0.969,1.0,good_domain,8,10,subset_396,220,2,0.0
P22626,nD1,16-100,2103379,e5kw6A1,304.9.1,0.998,0.998,12.4,0.842,0.895,good_domain,3,5,subset_17,85,0,100.0
P22626,nD2,101-200,1275545,e2lyvA3,304.9.1,0.997,0.999,12.5,0.905,1.053,good_domain,3,5,subset_17,100,1,100.0
P14867,nD1,41-250,2432618,e6hugD1,11.12.1,0.998,1.0,30.9,0.977,0.995,good_domain,4,12,subset_17,210,2,0.0
P14867,nD2,"251-350,401-455",2656025,e6x3tE2,5057.1.1,0.991,1.0,19.2,0.953,1.069,good_domain,4,0,subset_17,155,2,27.096774193548388
Q03721,nD1,36-160,1760353,e3dryC1,226.1.1,0.992,0.992,11.0,0.579,1.068,good_domain,4,4,subset_17,125,1,100.0
Q03721,nD2,206-490,2172435,e6c9aA2,5054.1.1,0.999,0.998,9.3,0.464,1.25,good_domain,8,2,subset_17,285,2,26.666666666666668
P26715,nD1,111-233,166605,e3bdwB1,209.1.1,0.998,0.995,22.4,0.967,0.953,good_domain,2,6,subset_17,123,1,0.0
P51531,nD1,176-210,002083035,e5nnpA1,109.4.1,0.618,0.0,4.1,na,na,simple_topology,2,0,subset_224,35,0,100.0
P51531,nD2,341-400,000375927,e3k6cD1,150.1.1,0.921,0.0,5.3,0.598,0.37,simple_topology,2,0,subset_224,60,0,100.0
P51531,nD3,426-510,na,na,na,na,na,na,na,na,simple_topology,1,0,subset_224,85,0,100.0
P51531,nD4,591-630,002570789,e6sy2A1,822.2.1,0.988,0.249,6.6,0.816,0.571,good_domain,1,2,subset_224,40,0,100.0
P51531,nD5,"511-545,706-910,931-955",001931041,e5jxrB2,2004.1.1,0.998,1.0,24.1,0.669,1.188,good_domain,11,6,subset_224,265,2,100.0
P51531,nD6,"956-1305,1331-1355",002770029,e7ennK1,2004.1.1,0.998,1.0,26.8,0.689,1.682,good_domain,13,8,subset_224,375,2,100.0
P51531,nD7,1371-1510,001184898,e3u5nB8,633.1.1,0.999,0.967,11.9,0.736,1.157,good_domain,5,0,subset_224,140,1,100.0
P32969,nD1,1-85,002675858,e6zj3LT1,318.1.1,0.999,1.0,16.2,0.977,0.929,good_domain,1,6,subset_224,85,0,100.0
P32969,nD2,86-190,002106229,e5xxbH2,318.1.1,0.998,1.0,19.3,1.0,1.148,good_domain,2,6,subset_224,105,1,100.0
O60603,nD1,26-230,001692183,e4z0cA1,207.1.1,0.999,0.998,23.4,0.4,0.722,good_domain,1,9,subset_224,205,2,0.0
O60603,nD2,231-625,001070221,e4kt1A1,207.1.1,0.996,0.999,25.1,0.386,1.391,good_domain,9,14,subset_224,395,2,4.050632911392405
O60603,nD3,636-784,002782858,e7nuwA1,2007.9.1,0.997,0.989,19.6,0.918,0.937,good_domain,4,4,subset_224,149,1,100.0
P00918,nD1,6-260,002595250,e6vj3A1,62.1.1,0.997,1.0,45.7,0.988,0.994,good_domain,3,11,subset_408,255,2,0.0
Q99928,nD1,41-250,002388936,e6d6tE1,11.12.1,0.996,1.0,27.8,0.755,0.995,good_domain,3,11,subset_408,210,2,0.0
Q99928,nD2,"251-355,436-465",002656025,e6x3tE2,5057.1.1,0.993,1.0,16.2,0.961,0.931,good_domain,4,0,subset_408,135,1,21.48148148148148
Q99816,nD1,6-140,001787789,e4yc1B1,216.1.1,0.999,1.0,27.0,0.931,0.885,good_domain,3,5,subset_408,135,1,100.0
Q99816,nD2,"226-305,311-385",na,na,na,na,na,na,na,na,low_confidence,3,0,subset_408,155,2,100.0
Q7Z7E8,nD1,41-170,341375,e2yz0A1,216.1.1,0.984,0.955,8.0,0.681,0.852,good_domain,3,4,subset_291,130,1,100.0
Q7Z7E8,nD2,226-410,6533,e1zuoA1,216.1.1,0.998,0.995,29.3,1.0,1.213,good_domain,6,6,subset_291,185,2,100.0
Q9P0J0,nD1,26-140,2105883,e5xtcW1,1132.1.1,1.0,1.0,10.3,0.966,0.927,good_domain,2,0,subset_291,115,1,80.8695652173913
Q07002,nD1,"21-45,91-100,126-460",1921768,e5g6vA1,206.1.1,1.0,1.0,41.4,0.952,1.229,good_domain,13,8,subset_291,370,2,100.0
P55317,nD1,171-260,2443853,e6akpC1,101.1.2,0.998,0.997,15.6,0.859,0.947,good_domain,4,3,subset_113,90,1,100.0
O95136,nD1,11-315,1266873,e3v2yA10,5001.1.1,0.999,1.0,37.3,0.905,1.068,good_domain,9,1,subset_113,305,2,26.557377049180328
Q8TBC4,nD1,"36-230,311-365",1873036,e3dbhD3,2003.1.9,0.999,1.0,43.4,0.969,0.969,good_domain,7,9,subset_113,250,2,100.0
Q8TBC4,nD2,"26-35,231-310",1870427,e1yovB3,6076.1.1,0.995,1.0,18.2,1.0,0.61,good_domain,4,0,subset_113,90,1,100.0
Q8TBC4,nD3,366-460,151386,e2lq7A1,221.7.1,0.994,0.989,12.8,0.866,0.864,good_domain,2,6,subset_113,95,1,100.0
P43121,nD1,21-130,1162816,e4bfiA3,11.1.1,0.999,0.988,11.0,0.505,1.019,good_domain,2,8,subset_113,110,1,2.727272727272727
P43121,nD2,131-245,1162816,e4bfiA3,11.1.1,0.999,0.988,11.0,0.437,1.065,good_domain,0,8,subset_113,115,1,0.0
P43121,nD3,246-340,2124038,e5vkjA1,11.1.1,0.999,0.997,10.6,0.955,0.88,good_domain,1,8,subset_113,95,1,0.0
P43121,nD4,341-430,2721089,e6lynC2,11.1.1,1.0,0.997,17.0,0.938,0.833,good_domain,1,8,subset_113,90,1,0.0
P43121,nD5,"431-525,561-585",1400801,e4r6uC2,11.1.1,0.999,0.997,11.8,0.848,1.111,good_domain,2,7,subset_113,120,1,4.166666666666667
P13569,nD1,"1-375,826-1170",2416348,e6msmA2,1075.4.1,1.0,1.0,24.0,0.945,2.233,good_domain,16,2,subset_387,720,3,53.333333333333336
P13569,nD2,"381-415,436-670,1171-1460",2814625,e7msmx1,2004.1.1,0.997,0.985,17.5,0.815,2.511,good_domain,16,20,subset_387,560,2,100.0
P47869,nD1,31-250,2432618,e6hugD1,11.12.1,0.998,1.0,31.8,1.0,1.043,good_domain,4,12,subset_387,220,2,0.0
